index;name;album;artist;release_date;length;popularity;mode;acousticness;danceability;energy;instrumentalness;liveness;valence;loudness;speechiness;tempo;duration_ms;time_signature;genre;url
0;goosebumps;Birds In The Trap Sing McKnight;Travis Scott;42629;243836;89;1;0,0847;0,841;0,728;0;0,149;0,43;-3,37;0,0484;130,049;243837;4;['rap'];https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
1;Trevo (Tu);ANAVITÓRIA;ANAVITÓRIA;42600;205467;69;1;0,877;0,676;0,374;0,000132;0,165;0,2;-8,201;0,0266;99,825;205468;4;['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop'];https://open.spotify.com/track/2vRBYKWOyHtFMtiK60qRz7
2;Hear Me Now;Hear Me Now;Alok;42664;194840;73;1;0,546;0,778;0,463;0,00289;0,0731;0,496;-7,603;0,0389;121,999;194840;4;['brazilian edm', 'edm', 'electro house', 'pop house'];https://open.spotify.com/track/39cmB3ZoTOLwOTq7tMNqKa
3;Refém;O Cara Certo;Dilsinho;42531;223546;67;1;0,692;0,648;0,542;0;0,0923;0,835;-6,292;0,036;147,861;223547;4;['pagode', 'pagode novo'];https://open.spotify.com/track/4muZ1PUxmss4cVmYnpLrvs
4;Ela Só Quer Paz;Ela Só Quer Paz;Projota;42396;174382;66;0;0,0207;0,655;0,664;0;0,0771;0,934;-4,506;0,179;172,005;174382;4;['brazilian edm', 'brazilian hip hop', 'pop nacional'];https://open.spotify.com/track/1RPrzKZdkzCNV0Ux0xEHg2
5;Closer;Closer;The Chainsmokers;42580;244960;84;1;0,414;0,748;0,524;0;0,111;0,661;-5,599;0,0338;95,01;244960;4;['dance pop', 'edm', 'electropop', 'pop', 'tropical house'];https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
6;Say You Won't Let Go;Back from the Edge;James Arthur;42671;211466;85;1;0,695;0,358;0,557;0;0,0902;0,494;-7,398;0,059;85,043;211467;4;['pop', 'post-teen pop', 'talent show', 'uk pop'];https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
7;Devil Eyes;Providence;Hippie Sabotage;42405;131271;80;0;0,702;0,391;0,396;0,405;0,315;0,199;-8,621;0,189;99,112;131272;5;['edm'];https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
8;We Don't Talk Anymore (feat. Selena Gomez);Nine Track Mind;Charlie Puth;42398;217706;80;0;0,621;0,728;0,563;0;0,179;0,352;-8,053;0,134;100,017;217707;4;['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
9;Paredes - Ao Vivo;Como. Sempre Feito. Nunca (ao Vivo);Jorge & Mateus;42419;184032;64;1;0,176;0,619;0,925;0;0,272;0,802;-2,424;0,148;169,974;184033;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/2GfxgssRHvY1azHtaRqKoK
